numCompra,anoCompra,uasg,iniVigencia,fimVigencia,numItem,descBreve,descDetalhada,unFornecimento,fornecedor,marca,valor,qtdUnidade
0072,2023,158127,27/09/2024,27/09/2025,99,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD MQ-2,"9,1400",15
0072,2023,158127,27/09/2024,27/09/2025,100,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,SPARKFUN,"3,6800",15
0072,2023,158127,27/09/2024,27/09/2025,101,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,MÓDULO SENSOR DE TEM,"3,6700",15
0072,2023,158127,27/09/2024,27/09/2025,102,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD SENSOR DE UMIDAD,"4,2200",19
0072,2023,158127,27/09/2024,27/09/2025,103,439794 - Sensor eletrônico,"Sensor Eletrônico Tipo Sensor: Umidade E Temperatura , Referência: Dht11 , Características Adicionais: Com Termistor Ntc E Hr202 , Temperatura Trabalho: 0 A 50 °C, Tensão Alimentação: 5 V, Faixa Umidade: 20 A 90 PE",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD DHT11,"6,9800",30
0072,2023,158127,27/09/2024,27/09/2025,104,440063 - Sensor eletrônico,"Sensor Eletrônico Tipo Sensor: Umidade E Temperatura , Referência: Sdi-12 Oout , Temperatura Trabalho: -40 A 70 °C, Comprimento Cabo: 3 M, Faixa Umidade: 0 A 100 PE",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD DHT22,"12,4500",30
0072,2023,158127,27/09/2024,27/09/2025,105,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,MOD TCRT5000,"4,1900",35
0072,2023,158127,27/09/2024,27/09/2025,106,343858 - Módulo eletrônico,"Módulo Eletrônico Tipo: Saída Relés , Modelo: 16 Saídas 2g8xn.O.Relays Out , Referência Fabricante: Df28 (Smar) , Aplicação: Rede Fieldbus Dfi302",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,HC-SR04,"6,8900",25
0072,2023,158127,27/09/2024,27/09/2025,107,608034 - Motor elétrico,"Motor Elétrico Tipo: De Passo , Modelo: Jk57hs112-3004-03 , Características Adicionais: Eixo 8mm, Resistência 1,6 Ohms, Indutância: 7,5mh , Torque Motor: 28 KGF, Número Pólos: 4 UN, Corrente Nominal: 3 A, Tensão Nominal: 4,8 VDC, Deslocamento Angular: 1,8°",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,28BYJ-48+DRIVER ULN2,"11,4500",10
0072,2023,158127,27/09/2024,27/09/2025,108,413984 - Motor elétrico,"Motor Elétrico Tipo: De Passo , Rotação: 200 Passos , Aplicação: Detecção Óptica De Toque , Tensão Nominal: 12 V, Material Carcaça: Ferro",Unidade,45.291.154/0001-18 - A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA,"NEMA 23,15kgf.cm/3A","189,4500",10
0072,2023,158127,27/09/2024,27/09/2025,110,320490 - Isolante térmico,"Isolante Térmico Aspecto Físico: Pasta , Aplicação: Processador , Características Adicionais: Condutividade Térmica 9.24w/M.ºc/Temperatura 0-200 , Formato: Seringa De 5 Gramas , Material: Prata",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,Thermal Silver 35390,"18,2000",10
0072,2023,158127,27/09/2024,27/09/2025,118,393883 - Potenciômetro rotativo,"Potenciômetro Rotativo Tipo: Miniatura Sem Chave , Resistência Nominal: 100 KOHM, Tipo Eixo: Com Ranhuras , Aplicação: Soldagem Placa De Ci",Unidade,39.678.810/0001-37 - TI COMPONENTES ELETRONICOS LTDA,Potenciômetro 100K,"1,1500",20
